ound 2943 errors in 212 files.

Errors  Files
     1  client/src/components/admin/ComprehensiveReportsManager.tsx:146
    10  client/src/components/admin/activity-logs.tsx:63
     3  client/src/components/admin/advanced-maintenance.tsx:131
     3  client/src/components/admin/analytics/AdvancedAnalyticsDashboard.tsx:151
     2  client/src/components/admin/analytics/ExportUtils.ts:16
     1  client/src/components/admin/analytics/HourView.tsx:19
     3  client/src/components/admin/analytics/TrendsView.tsx:25
     2  client/src/components/admin/analytics/components/AIInsightsPanel.tsx:51
    26  client/src/components/admin/customers.tsx:43
     7  client/src/components/admin/dashboard.tsx:79
     4  client/src/components/admin/dashboard/AdvancedModulesManager.tsx:266
    10  client/src/components/admin/delivery-tracking.tsx:107
     5  client/src/components/admin/employees.tsx:4
     1  client/src/components/admin/events-promotions.tsx:99
     1  client/src/components/admin/image-management.tsx:35
     5  client/src/components/admin/menu-management.tsx:76
     3  client/src/components/admin/messages.tsx:4
    15  client/src/components/admin/modules/AnalyticsDashboard.tsx:62
     8  client/src/components/admin/modules/Dashboard.tsx:52
    12  client/src/components/admin/modules/InventoryManagement.tsx:136
    14  client/src/components/admin/modules/LoyaltyProgram.tsx:71
     3  client/src/components/admin/notifications-system.tsx:120
     9  client/src/components/admin/online-ordering.tsx:111
     5  client/src/components/admin/permissions-management-improved.tsx:113
     1  client/src/components/admin/permissions-management.tsx:77
     3  client/src/components/admin/real-time-updates.tsx:201
     1  client/src/components/admin/reservations.tsx:65
     4  client/src/components/admin/settings.tsx:92
    18  client/src/components/admin/statistics-enhanced.tsx:49
     1  client/src/components/admin/statistics.tsx:84
  2008  client/src/components/admin/statistics/StatisticsEnhanced.tsx:437
     9  client/src/components/admin/table-management.tsx:125
     8  client/src/components/admin/user-profile-enhanced.tsx:60
     4  client/src/components/admin/user-profile.tsx:147
     5  client/src/components/admin/user-profile/UserProfileEnhanced.tsx:201
     2  client/src/components/admin/work-schedule.tsx:6
     4  client/src/components/admin/work-schedule/WorkSchedule.tsx:66
     1  client/src/components/admin/work-schedule/components/AnalyticsView.tsx:81
    10  client/src/components/admin/work-schedule/components/CalendarView.tsx:56
     6  client/src/components/admin/work-schedule/components/EmployeeOverview.tsx:75
    10  client/src/components/admin/work-schedule/components/ShiftListView.tsx:143
     1  client/src/components/admin/work-schedule/components/StatCard.tsx:84
    10  client/src/components/admin/work-schedule/hooks/useScheduleData.ts:14
    25  client/src/components/admin/work-schedule/hooks/useShiftManagement.ts:32
     9  client/src/components/admin/work-schedule/utils/schedule.utils.ts:204
     5  client/src/components/advanced-loyalty.tsx:69
     8  client/src/components/auth/AuthProvider.tsx:42
     2  client/src/components/contact.tsx:25
    15  client/src/components/dashboard-main.tsx:106
     6  client/src/components/dashboard-stats.tsx:42
     2  client/src/components/dashboard/dashboard-main.tsx:94
     2  client/src/components/dashboard/layout.tsx:13
     3  client/src/components/delivery-tracking.tsx:30
     1  client/src/components/hero.tsx:6
     1  client/src/components/home-menu-preview.tsx:17
     6  client/src/components/interactive-reservation.tsx:47
    23  client/src/components/menu-page.tsx:53
     1  client/src/components/menu.tsx:125
     1  client/src/components/navigation.tsx:6
     2  client/src/components/online-ordering.tsx:67
     7  client/src/components/reservation-notifications.tsx:49
     5  client/src/components/reservation.tsx:36
     1  client/src/components/sidebar.tsx:8
     3  client/src/components/table-management.tsx:46
     2  client/src/components/ui/accordion.tsx:1
     2  client/src/components/ui/alert-dialog.tsx:1
     2  client/src/components/ui/alert.tsx:1
     2  client/src/components/ui/avatar.tsx:1
     2  client/src/components/ui/badge.tsx:1
     2  client/src/components/ui/breadcrumb.tsx:1
     2  client/src/components/ui/button.tsx:1
     2  client/src/components/ui/calendar.tsx:1
     2  client/src/components/ui/card.tsx:1
    12  client/src/components/ui/carousel.tsx:1
     7  client/src/components/ui/chart.tsx:1
     2  client/src/components/ui/checkbox.tsx:1
     2  client/src/components/ui/command.tsx:1
     2  client/src/components/ui/context-menu.tsx:1
     2  client/src/components/ui/dialog.tsx:1
     2  client/src/components/ui/drawer.tsx:1
     2  client/src/components/ui/dropdown-menu.tsx:1
     2  client/src/components/ui/form.tsx:1
     2  client/src/components/ui/hover-card.tsx:1
     5  client/src/components/ui/input-otp.tsx:1
     2  client/src/components/ui/input.tsx:1
     9  client/src/components/ui/international-phone-input.tsx:57
     2  client/src/components/ui/label.tsx:1
     2  client/src/components/ui/menubar.tsx:1
     2  client/src/components/ui/navigation-menu.tsx:1
     2  client/src/components/ui/pagination.tsx:1
     1  client/src/components/ui/phone-input.tsx:75
     2  client/src/components/ui/popover.tsx:1
     2  client/src/components/ui/progress.tsx:1
     2  client/src/components/ui/radio-group.tsx:1
     2  client/src/components/ui/scroll-area.tsx:1
     2  client/src/components/ui/select.tsx:1
     2  client/src/components/ui/separator.tsx:1
     2  client/src/components/ui/sheet.tsx:1
    12  client/src/components/ui/sidebar.tsx:1
     2  client/src/components/ui/slider.tsx:1
     2  client/src/components/ui/switch.tsx:1
